profile_key,renewable_level,fossil_level,low_carbon_level,start_date,end_date,is_current
944,LOW,HIGH,LOW,2026-06-02,,true
951,LOW,HIGH,LOW,2026-06-02,,true
952,LOW,HIGH,LOW,2026-06-02,,true
955,LOW,HIGH,LOW,2026-06-02,,true
957,LOW,HIGH,LOW,2026-06-02,,true
961,LOW,LOW,LOW,2026-06-02,,true
963,LOW,LOW,LOW,2026-06-02,,true
966,LOW,LOW,LOW,2026-06-02,,true
976,LOW,LOW,LOW,2026-06-02,,true
978,LOW,LOW,LOW,2026-06-02,,true
984,LOW,LOW,LOW,2026-06-02,,true
985,LOW,LOW,LOW,2026-06-02,,true
990,LOW,LOW,LOW,2026-06-02,,true
992,LOW,LOW,LOW,2026-06-02,,true
995,LOW,LOW,LOW,2026-06-02,,true
999,LOW,LOW,LOW,2026-06-02,,true
1011,LOW,LOW,LOW,2026-06-02,,true
1012,LOW,LOW,LOW,2026-06-02,,true
1017,LOW,LOW,LOW,2026-06-02,,true
1022,LOW,LOW,LOW,2026-06-02,,true
1023,LOW,LOW,LOW,2026-06-02,,true
1029,LOW,HIGH,LOW,2026-06-02,,true
1040,LOW,HIGH,LOW,2026-06-02,,true
1044,LOW,HIGH,LOW,2026-06-02,,true
1048,LOW,HIGH,LOW,2026-06-02,,true
1049,LOW,HIGH,LOW,2026-06-02,,true
1050,LOW,HIGH,LOW,2026-06-02,,true
1051,LOW,HIGH,LOW,2026-06-02,,true
1053,LOW,HIGH,LOW,2026-06-02,,true
1055,LOW,HIGH,LOW,2026-06-02,,true
1059,LOW,HIGH,LOW,2026-06-02,,true
1060,LOW,HIGH,LOW,2026-06-02,,true
1064,LOW,HIGH,LOW,2026-06-02,,true
1070,LOW,HIGH,LOW,2026-06-02,,true
1071,LOW,HIGH,LOW,2026-06-02,,true
1073,LOW,HIGH,LOW,2026-06-02,,true
1076,LOW,HIGH,LOW,2026-06-02,,true
1092,LOW,HIGH,LOW,2026-06-02,,true
1103,LOW,HIGH,LOW,2026-06-02,,true
1106,LOW,HIGH,LOW,2026-06-02,,true
1107,LOW,HIGH,LOW,2026-06-02,,true
1110,LOW,HIGH,LOW,2026-06-02,,true
1114,LOW,HIGH,LOW,2026-06-02,,true
1117,LOW,HIGH,LOW,2026-06-02,,true
1120,LOW,HIGH,LOW,2026-06-02,,true
1122,LOW,HIGH,LOW,2026-06-02,,true
1123,LOW,HIGH,LOW,2026-06-02,,true
1126,LOW,LOW,LOW,2026-06-02,,true
1128,LOW,LOW,LOW,2026-06-02,,true
1132,LOW,LOW,LOW,2026-06-02,,true
1133,LOW,LOW,LOW,2026-06-02,,true
1134,LOW,LOW,LOW,2026-06-02,,true
1147,LOW,LOW,LOW,2026-06-02,,true
1152,LOW,LOW,LOW,2026-06-02,,true
1159,LOW,LOW,LOW,2026-06-02,,true
1166,LOW,LOW,LOW,2026-06-02,,true
1169,LOW,LOW,LOW,2026-06-02,,true
1172,LOW,LOW,LOW,2026-06-02,,true
1173,LOW,LOW,LOW,2026-06-02,,true
1178,LOW,LOW,LOW,2026-06-02,,true
1189,LOW,LOW,LOW,2026-06-02,,true
1190,LOW,LOW,LOW,2026-06-02,,true
1194,LOW,LOW,LOW,2026-06-02,,true
1195,LOW,LOW,LOW,2026-06-02,,true
1198,LOW,LOW,LOW,2026-06-02,,true
1203,LOW,LOW,LOW,2026-06-02,,true
1204,LOW,LOW,LOW,2026-06-02,,true
1217,LOW,LOW,LOW,2026-06-02,,true
1221,LOW,LOW,LOW,2026-06-02,,true
1232,LOW,LOW,LOW,2026-06-02,,true
1238,LOW,LOW,LOW,2026-06-02,,true
1242,LOW,LOW,LOW,2026-06-02,,true
1244,LOW,LOW,LOW,2026-06-02,,true
1248,LOW,LOW,LOW,2026-06-02,,true
1250,LOW,LOW,LOW,2026-06-02,,true
1259,LOW,LOW,LOW,2026-06-02,,true
1266,LOW,LOW,LOW,2026-06-02,,true
1276,LOW,LOW,LOW,2026-06-02,,true
1282,LOW,LOW,LOW,2026-06-02,,true
1286,LOW,LOW,LOW,2026-06-02,,true
1287,LOW,LOW,LOW,2026-06-02,,true
1290,LOW,LOW,LOW,2026-06-02,,true
1291,LOW,LOW,LOW,2026-06-02,,true
1297,LOW,LOW,LOW,2026-06-02,,true
1298,LOW,LOW,LOW,2026-06-02,,true
1305,LOW,LOW,LOW,2026-06-02,,true
1306,LOW,LOW,LOW,2026-06-02,,true
1307,LOW,LOW,LOW,2026-06-02,,true
1308,LOW,LOW,LOW,2026-06-02,,true
1313,LOW,LOW,LOW,2026-06-02,,true
1315,LOW,LOW,LOW,2026-06-02,,true
1321,LOW,LOW,LOW,2026-06-02,,true
1323,LOW,LOW,LOW,2026-06-02,,true
1327,LOW,LOW,LOW,2026-06-02,,true
1328,LOW,LOW,LOW,2026-06-02,,true
1329,LOW,LOW,LOW,2026-06-02,,true
1338,LOW,LOW,LOW,2026-06-02,,true
1345,LOW,LOW,LOW,2026-06-02,,true
1349,LOW,LOW,LOW,2026-06-02,,true
1351,LOW,LOW,LOW,2026-06-02,,true
1356,LOW,LOW,LOW,2026-06-02,,true
1358,LOW,LOW,LOW,2026-06-02,,true
1367,LOW,LOW,LOW,2026-06-02,,true
1370,LOW,HIGH,LOW,2026-06-02,,true
1376,LOW,HIGH,LOW,2026-06-02,,true
1379,LOW,HIGH,LOW,2026-06-02,,true
1386,LOW,HIGH,LOW,2026-06-02,,true
1391,LOW,HIGH,LOW,2026-06-02,,true
1392,LOW,HIGH,LOW,2026-06-02,,true
1423,LOW,LOW,LOW,2026-06-02,,true
1424,LOW,LOW,LOW,2026-06-02,,true
1439,LOW,LOW,LOW,2026-06-02,,true
1441,LOW,LOW,LOW,2026-06-02,,true
1452,LOW,LOW,LOW,2026-06-02,,true
1457,LOW,LOW,LOW,2026-06-02,,true
1462,LOW,LOW,LOW,2026-06-02,,true
1465,LOW,LOW,LOW,2026-06-02,,true
1467,LOW,LOW,LOW,2026-06-02,,true
1468,LOW,LOW,LOW,2026-06-02,,true
1472,LOW,LOW,LOW,2026-06-02,,true
1478,LOW,LOW,LOW,2026-06-02,,true
1481,LOW,LOW,LOW,2026-06-02,,true
1483,LOW,LOW,LOW,2026-06-02,,true
1490,LOW,LOW,LOW,2026-06-02,,true
1498,LOW,LOW,LOW,2026-06-02,,true
1502,LOW,LOW,LOW,2026-06-02,,true
1504,LOW,LOW,LOW,2026-06-02,,true
1505,LOW,LOW,LOW,2026-06-02,,true
1511,LOW,LOW,LOW,2026-06-02,,true
1512,LOW,LOW,LOW,2026-06-02,,true
1513,LOW,LOW,LOW,2026-06-02,,true
1520,LOW,LOW,LOW,2026-06-02,,true
1525,LOW,LOW,LOW,2026-06-02,,true
1527,LOW,LOW,LOW,2026-06-02,,true
1528,LOW,LOW,LOW,2026-06-02,,true
1529,LOW,LOW,LOW,2026-06-02,,true
1533,LOW,LOW,LOW,2026-06-02,,true
1541,LOW,LOW,LOW,2026-06-02,,true
1542,LOW,LOW,LOW,2026-06-02,,true
1551,LOW,HIGH,LOW,2026-06-02,,true
1556,LOW,HIGH,LOW,2026-06-02,,true
1561,LOW,HIGH,LOW,2026-06-02,,true
